cluster_id	nb_of_protein	number_of_genome	number_of_genome_in_valid_branches	unclassified_genome	nb_polyprotein	number_leaves_in_subtree	homogeneity	shared_taxonomy	valid_branches	inflation	coverage	evalue	unclassified_cluster	first_node
904	38	16	16	0	7	17	0.9411764705882353	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arteriviridae	Arteriviridae	1_2	20	1e-30	False	ssRNA viruses
956	35	35	30	0	2	65	0.46153846153846156	Viruses	Phenuiviridae|Peribunyaviridae	1_2	20	1e-30	False	Viruses
988	34	24	14	0	20	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_2	20	1e-30	False	ssRNA viruses
1034	33	33	32	0	1	32	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae	Arenavirus (unclassified Arenaviridae)|Mammarenavirus	1_2	20	1e-30	False	ssRNA viruses
1298	27	27	26	0	1	1975	0.013164556962025316	Viruses;dsDNA viruses, no RNA stage	Podoviridae|Siphoviridae|Myoviridae	1_2	20	1e-30	False	dsDNA viruses, no RNA stage
1361	26	26	25	0	22	25	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Pegivirus|Hepacivirus	1_2	20	1e-30	False	ssRNA viruses
1491	24	24	24	0	1	24	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales;Hantaviridae;Orthohantavirus	Orthohantavirus	1_2	20	1e-30	False	ssRNA viruses
1511	23	22	22	0	12	35	0.6285714285714286	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Cheravirus|Comovirinae	1_2	20	1e-30	False	ssRNA viruses
2445	17	17	12	0	1	54	0.2222222222222222	Viruses	Hepeviridae|Alphatetraviridae|Astroviridae	1_2	20	1e-30	False	Viruses
2627	16	16	16	0	5	27	0.5925925925925926	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae	Betaretrovirus|Gammaretrovirus	1_2	20	1e-30	False	Retro-transcribing viruses
2930	15	13	13	0	11	13	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae	Fabavirus|Comovirus	1_2	20	1e-30	False	ssRNA viruses
3234	14	14	14	0	1	50	0.28	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales	Nairoviridae|Peribunyaviridae	1_2	20	1e-30	False	ssRNA viruses
3660	12	12	12	0	5	12	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Flaviviridae;Pestivirus	Pestivirus	1_2	20	1e-30	False	ssRNA viruses
3677	12	9	8	0	1	8	1.0	Viruses;Retro-transcribing viruses;Hepadnaviridae	Orthohepadnavirus	1_2	20	1e-30	False	Retro-transcribing viruses
5013	9	8	8	0	1	9	0.8888888888888888	Viruses;dsDNA viruses, no RNA stage;Adenoviridae;Atadenovirus	Atadenovirus	1_2	20	1e-30	False	dsDNA viruses, no RNA stage
5518	8	8	7	0	2	7	1.0	Viruses;dsRNA viruses;Birnaviridae	Entomobirnavirus|Avibirnavirus|Blosnavirus|Aquabirnavirus	1_2	20	1e-30	False	dsRNA viruses
5548	8	8	8	0	7	8	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Torradovirus	Torradovirus	1_2	20	1e-30	False	ssRNA viruses
5674	8	7	7	0	1	8	0.875	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_2	20	1e-30	False	Retro-transcribing viruses
5676	8	8	8	0	6	8	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Orthomyxoviridae	Influenzavirus B|Influenzavirus A	1_2	20	1e-30	False	ssRNA viruses
6403	7	7	5	0	2	5	1.0	Viruses	Alphanodavirus	1_2	20	1e-30	False	Viruses
6564	7	7	7	0	1	7	1.0	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus	Iteradensovirus	1_2	20	1e-30	False	ssDNA viruses
7472	6	6	5	0	2	10	0.5	Viruses;Retro-transcribing viruses;Retroviridae	Betaretrovirus	1_2	20	1e-30	False	Retro-transcribing viruses
7678	6	6	3	0	1	1335	0.0022471910112359553	Viruses	ssRNA positive-strand viruses, no DNA stage	1_2	20	1e-30	False	Viruses
8947	5	5	5	0	4	5	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Potyviridae;Bymovirus	Bymovirus	1_2	20	1e-30	False	ssRNA viruses
9386	5	5	5	0	1	5	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Alphatetraviridae|Permutotetraviridae|Carmotetraviridae	1_2	20	1e-30	False	ssRNA viruses
9498	5	5	5	0	1	8	0.625	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_2	20	1e-30	False	Retro-transcribing viruses
11227	4	4	4	0	2	53	0.07547169811320754	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Secoviridae	1_2	20	1e-30	False	ssRNA viruses
12120	4	4	4	0	1	4	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Lentivirus;Primate lentivirus group	Primate lentivirus group	1_2	20	1e-30	False	Retro-transcribing viruses
15188	3	3	3	0	1	3	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Benyviridae;Benyvirus	Benyvirus	1_2	20	1e-30	False	ssRNA viruses
20020	3	3	2	0	1	3	0.6666666666666666	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae	Phic31virus	1_2	20	1e-30	False	dsDNA viruses, no RNA stage
21412	2	2	2	0	1	1080	0.001851851851851852	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae	Siphoviridae	1_2	20	1e-30	False	dsDNA viruses, no RNA stage
45277	1	1	1	0	1	1	1.0	Viruses;dsDNA viruses, no RNA stage;Phycodnaviridae;Coccolithovirus	Coccolithovirus	1_2	20	1e-30	False	dsDNA viruses, no RNA stage
66999	1	1	1	0	1	1	1.0	Viruses;dsRNA viruses;Reoviridae;Spinareovirinae;Oryzavirus	Oryzavirus	1_2	20	1e-30	False	dsRNA viruses
67152	1	1	1	0	1	1	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Rubivirus	Rubivirus	1_2	20	1e-30	False	ssRNA viruses
67153	1	1	1	0	1	1	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Rubivirus	Rubivirus	1_2	20	1e-30	False	ssRNA viruses
68048	1	1	1	0	1	1	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Sadwavirus	Sadwavirus	1_2	20	1e-30	False	ssRNA viruses
70300	1	1	1	0	1	53	0.018867924528301886	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Secoviridae	1_2	20	1e-30	False	ssRNA viruses
89505	1	1	1	0	1	1	1.0	Viruses;dsDNA viruses, no RNA stage;Plasmaviridae;Plasmavirus	Plasmavirus	1_2	20	1e-30	False	dsDNA viruses, no RNA stage
1	471	425	419	0	1	2975	0.1408403361344538	Viruses	Satellites|ssRNA viruses|ssDNA viruses	1_4	20	1e-30	False	Viruses
3	346	342	341	0	1	2746	0.12418062636562273	Viruses	ssRNA viruses|ssDNA viruses	1_4	20	1e-30	False	Viruses
4	343	339	338	0	1	2746	0.12308812818645302	Viruses	ssRNA viruses|ssDNA viruses	1_4	20	1e-30	False	Viruses
6	279	277	111	0	36	244	0.45491803278688525	Viruses	Secoviridae|Dicistroviridae|Picornaviridae|Iflaviridae	1_4	20	1e-30	False	Viruses
7	264	182	141	0	21	2109	0.06685633001422475	Viruses	ssRNA viruses|dsRNA viruses	1_4	20	1e-30	False	Viruses
26	193	192	186	0	9	187	0.9946524064171123	Viruses	Alphaflexiviridae|Gammaflexiviridae|Tymoviridae|Betaflexiviridae	1_4	20	1e-30	False	Viruses
55	150	149	137	0	122	137	1.0	Viruses	Potyvirus|Bymovirus|Poacevirus|Tritimovirus|Macluravirus|Rymovirus|Ipomovirus|Brambyvirus	1_4	20	1e-30	False	Viruses
64	137	129	102	0	85	103	0.9902912621359223	Viruses	Passerivirus|Hunnivirus|Teschovirus|Aquamavirus|Torchivirus|Megrivirus|Mischivirus|Sapelovirus|Kobuvirus|Aphthovirus|Cosavirus|Kunsagivirus|Rosavirus|Pasivirus|Erbovirus|Mosavirus|Sicinivirus|Senecavirus|Cardiovirus|Oscivirus|Dicipivirus|Avisivirus|Parechovirus|Potamipivirus|Tremovirus|Enterovirus|Sakobuvirus|Gallivirus|Rabovirus|Limnipivirus|Avihepatovirus|Hepatovirus	1_4	20	1e-30	False	Viruses
73	128	67	59	0	29	72	0.8194444444444444	Viruses	Sobemovirus|Luteoviridae|Polemovirus|Barnaviridae	1_4	20	1e-30	False	Viruses
101	110	89	40	0	68	41	0.975609756097561	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Rio Bravo virus group|Yellow fever virus group|Seaborne tick-borne virus group|tick-borne encephalitis virus group|Japanese encephalitis virus group|Dengue virus group|mosquito-borne viruses|Kokobera virus group|Ntaya virus group|Modoc virus group	1_4	20	1e-30	False	ssRNA viruses
223	80	44	30	0	1	30	1.0	Viruses	Avastrovirus|Mamastrovirus	1_4	20	1e-30	False	Viruses
226	80	78	75	0	1	1975	0.0379746835443038	Viruses	Siphoviridae|Podoviridae|Myoviridae	1_4	20	1e-30	False	Viruses
275	73	70	70	0	1	135	0.5185185185185185	Viruses;Retro-transcribing viruses	Caulimoviridae|Retroviridae	1_4	20	1e-30	False	Retro-transcribing viruses
291	71	50	38	0	14	38	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Coronaviridae;Coronavirinae	Gammacoronavirus|Alphacoronavirus|Betacoronavirus	1_4	20	1e-30	False	ssRNA viruses
332	66	31	31	0	17	36	0.8611111111111112	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae	Betaretrovirus|Deltaretrovirus|Alpharetrovirus|Lentivirus	1_4	20	1e-30	False	Retro-transcribing viruses
343	64	64	12	0	1	17	0.7058823529411765	Viruses	Aparavirus|Triatovirus|Cripavirus	1_4	20	1e-30	False	Viruses
640	44	34	29	0	17	29	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Caliciviridae	Sapovirus|Vesivirus|Norovirus|Lagovirus|Nebovirus	1_4	20	1e-30	False	ssRNA viruses
676	43	43	30	0	1	30	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Astroviridae	Avastrovirus|Mamastrovirus	1_4	20	1e-30	False	ssRNA viruses
677	43	24	14	0	34	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_4	20	1e-30	False	ssRNA viruses
862	38	16	16	0	7	17	0.9411764705882353	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arteriviridae	Arteriviridae	1_4	20	1e-30	False	ssRNA viruses
893	36	33	31	0	1	1626	0.019065190651906518	Viruses	Siphoviridae|Myoviridae	1_4	20	1e-30	False	Viruses
911	35	25	24	0	12	61	0.39344262295081966	Viruses;Retro-transcribing viruses;Retroviridae	Orthoretrovirinae|Spumaretrovirinae	1_4	20	1e-30	False	Retro-transcribing viruses
951	34	24	14	0	20	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_4	20	1e-30	False	ssRNA viruses
992	33	33	29	0	2	65	0.4461538461538462	Viruses	Phenuiviridae|Peribunyaviridae	1_4	20	1e-30	False	Viruses
993	33	33	32	0	1	32	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Arenaviridae	Arenavirus (unclassified Arenaviridae)|Mammarenavirus	1_4	20	1e-30	False	ssRNA viruses
1331	26	26	25	0	22	25	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Pegivirus|Hepacivirus	1_4	20	1e-30	False	ssRNA viruses
1478	24	24	24	0	1	24	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales;Hantaviridae;Orthohantavirus	Orthohantavirus	1_4	20	1e-30	False	ssRNA viruses
1888	20	20	19	0	1	1975	0.009620253164556962	Viruses;dsDNA viruses, no RNA stage	Podoviridae|Siphoviridae|Myoviridae	1_4	20	1e-30	False	dsDNA viruses, no RNA stage
2025	19	18	18	0	10	18	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Nepovirus	Nepovirus	1_4	20	1e-30	False	ssRNA viruses
2431	17	17	12	0	1	54	0.2222222222222222	Viruses	Hepeviridae|Alphatetraviridae|Astroviridae	1_4	20	1e-30	False	Viruses
2621	16	16	16	0	5	27	0.5925925925925926	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae	Betaretrovirus|Gammaretrovirus	1_4	20	1e-30	False	Retro-transcribing viruses
3255	14	14	14	0	1	50	0.28	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Bunyavirales	Nairoviridae|Peribunyaviridae	1_4	20	1e-30	False	ssRNA viruses
3723	12	12	12	0	5	12	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Flaviviridae;Pestivirus	Pestivirus	1_4	20	1e-30	False	ssRNA viruses
3740	12	9	8	0	1	8	1.0	Viruses;Retro-transcribing viruses;Hepadnaviridae	Orthohepadnavirus	1_4	20	1e-30	False	Retro-transcribing viruses
4074	11	8	7	0	4	8	0.875	Viruses;Retro-transcribing viruses;Retroviridae	Alpharetrovirus	1_4	20	1e-30	False	Retro-transcribing viruses
4147	11	9	9	0	8	9	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Comovirus	Comovirus	1_4	20	1e-30	False	ssRNA viruses
5157	9	8	8	0	1	9	0.8888888888888888	Viruses;dsDNA viruses, no RNA stage;Adenoviridae;Atadenovirus	Atadenovirus	1_4	20	1e-30	False	dsDNA viruses, no RNA stage
5697	8	8	7	0	2	7	1.0	Viruses;dsRNA viruses;Birnaviridae	Entomobirnavirus|Avibirnavirus|Blosnavirus|Aquabirnavirus	1_4	20	1e-30	False	dsRNA viruses
5737	8	8	8	0	7	8	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Torradovirus	Torradovirus	1_4	20	1e-30	False	ssRNA viruses
5890	8	7	7	0	1	8	0.875	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_4	20	1e-30	False	Retro-transcribing viruses
5891	8	8	8	0	6	8	1.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Orthomyxoviridae	Influenzavirus B|Influenzavirus A	1_4	20	1e-30	False	ssRNA viruses
6652	7	7	5	0	2	5	1.0	Viruses	Alphanodavirus	1_4	20	1e-30	False	Viruses
6656	7	7	7	0	3	8	0.875	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_4	20	1e-30	False	Retro-transcribing viruses
6844	7	7	7	0	1	7	1.0	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus	Iteradensovirus	1_4	20	1e-30	False	ssDNA viruses
7831	6	6	5	0	2	10	0.5	Viruses;Retro-transcribing viruses;Retroviridae	Betaretrovirus	1_4	20	1e-30	False	Retro-transcribing viruses
8056	6	6	3	0	1	1335	0.0022471910112359553	Viruses	ssRNA positive-strand viruses, no DNA stage	1_4	20	1e-30	False	Viruses
9397	5	5	5	0	4	5	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Potyviridae;Bymovirus	Bymovirus	1_4	20	1e-30	False	ssRNA viruses
9979	5	5	5	0	1	8	0.625	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Deltaretrovirus	1_4	20	1e-30	False	Retro-transcribing viruses
11562	4	4	4	0	2	4	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Cheravirus	Cheravirus	1_4	20	1e-30	False	ssRNA viruses
11792	4	4	4	0	3	4	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Comovirinae;Fabavirus	Fabavirus	1_4	20	1e-30	False	ssRNA viruses
11801	4	4	4	0	2	53	0.07547169811320754	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Secoviridae	1_4	20	1e-30	False	ssRNA viruses
12762	4	4	4	0	1	4	1.0	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Lentivirus;Primate lentivirus group	Primate lentivirus group	1_4	20	1e-30	False	Retro-transcribing viruses
15948	3	3	3	0	1	3	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Benyviridae;Benyvirus	Benyvirus	1_4	20	1e-30	False	ssRNA viruses
20977	3	3	2	0	1	3	0.6666666666666666	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae	Phic31virus	1_4	20	1e-30	False	dsDNA viruses, no RNA stage
22411	2	2	2	0	1	1080	0.001851851851851852	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae	Siphoviridae	1_4	20	1e-30	False	dsDNA viruses, no RNA stage
23827	2	2	2	0	1	4	0.5	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Alphatetraviridae|Permutotetraviridae	1_4	20	1e-30	False	ssRNA viruses
46473	1	1	1	0	1	1	1.0	Viruses;dsDNA viruses, no RNA stage;Phycodnaviridae;Coccolithovirus	Coccolithovirus	1_4	20	1e-30	False	dsDNA viruses, no RNA stage
68195	1	1	1	0	1	1	1.0	Viruses;dsRNA viruses;Reoviridae;Spinareovirinae;Oryzavirus	Oryzavirus	1_4	20	1e-30	False	dsRNA viruses
68348	1	1	1	0	1	1	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Rubivirus	Rubivirus	1_4	20	1e-30	False	ssRNA viruses
68349	1	1	1	0	1	1	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Rubivirus	Rubivirus	1_4	20	1e-30	False	ssRNA viruses
69244	1	1	1	0	1	1	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae;Sadwavirus	Sadwavirus	1_4	20	1e-30	False	ssRNA viruses
71496	1	1	1	0	1	53	0.018867924528301886	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Picornavirales;Secoviridae	Secoviridae	1_4	20	1e-30	False	ssRNA viruses
90701	1	1	1	0	1	1	1.0	Viruses;dsDNA viruses, no RNA stage;Plasmaviridae;Plasmavirus	Plasmavirus	1_4	20	1e-30	False	dsDNA viruses, no RNA stage
1	469	424	419	0	1	2975	0.1408403361344538	Viruses	Satellites|ssRNA viruses|ssDNA viruses	1_6	20	1e-30	False	Viruses
3	346	342	341	0	1	2746	0.12418062636562273	Viruses	ssRNA viruses|ssDNA viruses	1_6	20	1e-30	False	Viruses
4	343	339	338	0	1	2746	0.12308812818645302	Viruses	ssRNA viruses|ssDNA viruses	1_6	20	1e-30	False	Viruses
6	275	273	110	0	36	244	0.45081967213114754	Viruses	Secoviridae|Dicistroviridae|Picornaviridae|Iflaviridae	1_6	20	1e-30	False	Viruses
9	229	147	106	0	21	2109	0.05026078710289237	Viruses	ssRNA viruses|dsRNA viruses	1_6	20	1e-30	False	Viruses
46	153	152	149	0	4	150	0.9933333333333333	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Alphaflexiviridae|Gammaflexiviridae|Betaflexiviridae	1_6	20	1e-30	False	ssRNA viruses
49	150	149	137	0	122	137	1.0	Viruses	Potyvirus|Bymovirus|Poacevirus|Tritimovirus|Macluravirus|Rymovirus|Ipomovirus|Brambyvirus	1_6	20	1e-30	False	Viruses
56	137	129	102	0	85	103	0.9902912621359223	Viruses	Passerivirus|Hunnivirus|Teschovirus|Aquamavirus|Torchivirus|Megrivirus|Mischivirus|Sapelovirus|Kobuvirus|Aphthovirus|Cosavirus|Kunsagivirus|Rosavirus|Pasivirus|Erbovirus|Mosavirus|Sicinivirus|Senecavirus|Cardiovirus|Oscivirus|Dicipivirus|Avisivirus|Parechovirus|Potamipivirus|Tremovirus|Enterovirus|Sakobuvirus|Gallivirus|Rabovirus|Limnipivirus|Avihepatovirus|Hepatovirus	1_6	20	1e-30	False	Viruses
64	128	67	59	0	29	72	0.8194444444444444	Viruses	Sobemovirus|Luteoviridae|Polemovirus|Barnaviridae	1_6	20	1e-30	False	Viruses
90	110	89	40	0	68	41	0.975609756097561	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage	Rio Bravo virus group|Yellow fever virus group|Seaborne tick-borne virus group|tick-borne encephalitis virus group|Japanese encephalitis virus group|Dengue virus group|mosquito-borne viruses|Kokobera virus group|Ntaya virus group|Modoc virus group	1_6	20	1e-30	False	ssRNA viruses
210	80	44	30	0	1	30	1.0	Viruses	Avastrovirus|Mamastrovirus	1_6	20	1e-30	False	Viruses
213	80	78	75	0	1	1975	0.0379746835443038	Viruses	Siphoviridae|Podoviridae|Myoviridae	1_6	20	1e-30	False	Viruses
253	73	70	70	0	1	135	0.5185185185185185	Viruses;Retro-transcribing viruses	Caulimoviridae|Retroviridae	1_6	20	1e-30	False	Retro-transcribing viruses
272	71	50	38	0	14	38	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Coronaviridae;Coronavirinae	Gammacoronavirus|Alphacoronavirus|Betacoronavirus	1_6	20	1e-30	False	ssRNA viruses
641	43	43	30	0	1	30	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Astroviridae	Avastrovirus|Mamastrovirus	1_6	20	1e-30	False	ssRNA viruses
642	43	24	14	0	34	14	1.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Togaviridae;Alphavirus	SFV complex|WEEV complex|VEEV complex|EEEV complex	1_6	20	1e-30	False	ssRNA viruses
724	40	40	34	0	5	34	1.0	Viruses	Maculavirus|Marafivirus|Tymovirus	1_6	20	1e-30	False	Viruses
822	38	16	16	0	7	17	0.9411764705882353	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arteriviridae	Arteriviridae	1_6	20	1e-30	False	ssRNA viruses
834	37	25	25	0	9	36	0.6944444444444444	Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae	Betaretrovirus|Deltaretrovirus|Alpharetrovirus|Lentivirus	1_6	20	1e-30	False	Retro-transcribing viruses
860	36	33	31	0	1	1626	0.019065190651906518	Viruses	Siphoviridae|Myoviridae	1_6	20	1e-30	False	Viruses
878	35	25	24	0	12	61	0.39344262295081966	Viruses;Retro-transcribing viruses;Retroviridae	Orthoretrovirinae|Spumaretrovirinae	1_6	20	1e-30	False	Retro-transcribing viruses
