First_node	taxon_id	protein_id	strand	has_peptide	nb_peptides	nb_unannotated_part	nb_cleavage_sites	is_sub_protein	signal_peptide_scheme	len_first_peptide	first_pep_type	len_protein	taxonomy
ssRNA viruses	1231903	YP_006732328.1	1		0	0	0	False	False	None		3702	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	1231903	YP_008901141.1	1		0	0	0	False	False	None		7248	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	48544	YP_003324587.1	1		4	0	3	False	False	None		7374	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	48544	YP_003324588.1	1		5	0	4	False	False	None		3717	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	48544	YP_006491247.1	1		4	0	3	True	False	None		2445	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	59300	YP_006491251.1	1		1	1	1	True	False	None		2493	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59300	YP_164439.1	1		0	0	0	False	False	None		3762	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59300	YP_164438.1	1		0	0	0	False	False	None		7404	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11024	YP_006491229.1	1		4	0	3	True	False	None		2439	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11024	YP_002802300.1	1		5	0	4	False	False	None		3711	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11024	YP_002802299.1	1		4	0	3	False	False	None		7353	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	1440170	YP_009020570.1	1		4	0	3	False	False	None		7425	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	1440170	YP_009020571.1	1		5	0	4	False	False	None		3729	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	59301	NP_579969.1	1		3	0	2	True	False	None		5460	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59301	YP_006491249.1	1		4	0	3	True	False	None		2466	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59301	NP_579970.1	1		5	0	4	False	False	None		3729	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	59301	NP_579968.1	1		4	1	4	False	False	None		7314	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11023	YP_009058893.1	1		0	0	0	False	False	None		3777	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11023	YP_009058892.1	1		0	0	0	False	False	None		7236	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	59302	YP_006491255.1	1		1	1	1	True	False	None		2490	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	59302	YP_005351232.1	1		0	0	0	True	False	None		5448	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	59302	YP_008888544.1	1		0	0	0	False	False	None		7302	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	59302	YP_005351233.1	1		0	0	0	False	False	None		3723	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11027	NP_041255.1	1		5	0	4	False	False	None		3744	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11027	YP_006491245.1	1		4	0	3	True	False	None		2472	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11027	NP_041254.1	1		4	0	3	False	False	None		7545	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11029	YP_006491253.1	1		4	0	3	True	False	None		2454	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11029	NP_062879.1	1		4	0	3	False	False	None		7443	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11029	NP_062880.1	1		5	0	4	False	False	None		3765	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	84589	YP_006491239.1	1		4	0	3	True	False	None		2655	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	84589	NP_647497.1	1		5	0	4	False	False	None		3963	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	84589	NP_647496.1	1		4	0	3	False	False	None		7806	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	78540	YP_006491237.1	1		4	0	3	True	False	None		2658	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	78540	NP_598184.1	1		4	0	3	False	False	None		7782	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	78540	NP_598185.1	1		5	0	4	False	False	None		3969	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11033	YP_006390078.1	1		4	0	3	True	False	None		2493	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11033	NP_463457.1	1		5	0	3	False	False	None		7296	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11033	NP_463458.1	1		5	0	4	False	False	None		3762	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'SFV complex']
ssRNA viruses	11034	NP_062888.1	1		4	1	4	False	False	None		7542	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11034	NP_062889.1	1		3	0	2	True	False	None		5691	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11034	YP_006491225.1	1		4	0	3	True	False	None		2466	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11034	NP_062890.1	1		5	0	4	False	False	None		3738	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	1159195	YP_008888545.1	1		0	0	0	False	False	None		7329	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	1159195	YP_005351234.1	1		0	0	0	True	False	None		5478	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	1159195	YP_005351235.1	1		0	0	0	False	False	None		3756	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	1159195	YP_006491257.1	1		1	1	1	True	False	None		2481	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus']
ssRNA viruses	11036	NP_040823.1	1		2	1	2	True	True	1605	mat_peptide	5640	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'VEEV complex']
ssRNA viruses	11036	NP_040822.1	1		4	1	3	False	False	None		7482	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'VEEV complex']
ssRNA viruses	11036	YP_006491235.1	1		4	0	3	True	False	None		2487	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'VEEV complex']
ssRNA viruses	11036	NP_040824.1	1		5	0	4	False	False	None		3768	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'VEEV complex']
ssRNA viruses	11039	NP_640330.1	1		5	0	3	False	False	None		7404	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11039	YP_006491227.1	1		4	0	3	True	False	None		2439	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	11039	NP_640331.1	1		5	0	4	False	False	None		3711	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	48543	YP_008888546.1	1		0	0	0	False	False	None		7416	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	48543	YP_006491259.1	1		1	1	1	True	False	None		2469	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	48543	YP_005351237.1	1		0	0	0	False	False	None		3741	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	48543	YP_005351236.1	1		0	0	0	True	False	None		5565	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'WEEV complex']
ssRNA viruses	1930825	YP_009333615.1	1		0	0	0	False	False	None		7206	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'unclassified Alphavirus']
ssRNA viruses	1930825	YP_009333616.1	1		0	0	0	False	False	None		3714	['Viruses', 'ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'Togaviridae', 'Alphavirus', 'unclassified Alphavirus']
