First_node	taxon_id	peptide_id	feature_type	strand	start_as_prot	len	nb_peptides	signal_peptide_scheme	inclued_in_nb_prot	taxonomy
Retro-transcribing viruses	11764	YP_009109698.1	mat_peptide	1	False	753		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109693.1	mat_peptide	1	False	384		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109700.1	mat_peptide	1	False	948		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109696.1	mat_peptide	1	True	336		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11764	YP_009109697.1	mat_peptide	1	False	342		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11901	NP_777384.2	mat_peptide	1	True	4251		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777379.1	mat_peptide	1	False	228		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777385.2	mat_peptide	1	True	1545		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777386.1	mat_peptide	1	False	402		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777383.1	mat_peptide	1	False	381		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777381.1	mat_peptide	1	False	651		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777382.1	mat_peptide	1	False	207		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11901	NP_777380.1	mat_peptide	1	False	78		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	1435008	YP_008992015.1	mat_peptide	1	False	372		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae']
Retro-transcribing viruses	1435008	YP_008992017.1	mat_peptide	1	False	342		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae']
Retro-transcribing viruses	1435008	YP_008992016.1	mat_peptide	1	False	159		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae']
Retro-transcribing viruses	11768	NP_955573.1	mat_peptide	1	False	210		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955574.1	mat_peptide	1	False	744		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955581.1	mat_peptide	1	False	1236		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955580.1	mat_peptide	1	False	1248		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955576.1	mat_peptide	1	False	1506		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955575.1	mat_peptide	1	False	171		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955579.1	mat_peptide	1	False	2007		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955582.1	mat_peptide	1	False	591		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955578.1	mat_peptide	1	False	375		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955572.1	mat_peptide	1	False	381		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11768	NP_955577.1	mat_peptide	1	False	3630		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11885	NP_955603.1	mat_peptide	1	True	456		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11885	NP_955605.1	mat_peptide	1	False	225		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11885	NP_955604.1	mat_peptide	1	False	189		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11885	NP_955606.1	mat_peptide	1	False	2619		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11840	YP_002000608.1	mat_peptide	1	True	1467		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000604.1	mat_peptide	1	False	198		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000603.1	mat_peptide	1	False	210		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000607.1	mat_peptide	1	False	1161		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000601.1	mat_peptide	1	True	375		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000602.1	mat_peptide	1	False	777		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000606.1	mat_peptide	1	False	1974		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000605.1	mat_peptide	1	True	360		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11840	YP_002000609.1	mat_peptide	1	False	531		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	10406	Unknown	sig_peptide	1	True	180		True	1	['Viruses', 'Retro-transcribing viruses', 'Hepadnaviridae', 'Orthohepadnavirus']
Retro-transcribing viruses	10406	NP_955537.1	mat_peptide	1	False	666		False	1	['Viruses', 'Retro-transcribing viruses', 'Hepadnaviridae', 'Orthohepadnavirus']
Retro-transcribing viruses	10407	Unknown	sig_peptide	1	True	87		True	1	['Viruses', 'Retro-transcribing viruses', 'Hepadnaviridae', 'Orthohepadnavirus']
Retro-transcribing viruses	11676	NP_579893.2	sig_peptide	1	True	84		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_789739.1	mat_peptide	1	False	1320		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_787042.1	mat_peptide	1	False	48		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_705926.1	mat_peptide	1	False	297		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579882.1	mat_peptide	1	False	42		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_789740.1	mat_peptide	1	False	2985		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579876.2	mat_peptide	1	True	396		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_705928.1	mat_peptide	1	False	864		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_705927.1	mat_peptide	1	False	1680		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579883.1	mat_peptide	1	False	156		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579881.1	mat_peptide	1	False	165		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579894.2	mat_peptide	1	False	1449		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579895.1	mat_peptide	1	False	1035		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_787043.1	mat_peptide	1	False	168		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11676	NP_579880.1	mat_peptide	1	False	693		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'Primate lentivirus group']
Retro-transcribing viruses	11855	NP_954565.2	mat_peptide	1	True	5313		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954560.1	mat_peptide	1	False	684		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954558.1	mat_peptide	1	False	348		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954557.1	mat_peptide	1	False	297		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954564.1	mat_peptide	1	False	702		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954561.1	mat_peptide	1	False	321		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954562.2	mat_peptide	1	True	1758		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954556.1	mat_peptide	1	False	291		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954563.1	mat_peptide	1	False	531		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11855	NP_954559.1	mat_peptide	1	False	249		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11809	NP_955528.1	mat_peptide	1	False	180		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11809	NP_955529.1	mat_peptide	1	False	1107		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11809	NP_955527.1	mat_peptide	1	False	789		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11809	NP_955526.1	mat_peptide	1	False	393		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus']
Retro-transcribing viruses	11757	NP_955569.1	mat_peptide	1	False	732		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955566.1	mat_peptide	1	False	288		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955564.1	mat_peptide	1	False	3033		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955570.1	mat_peptide	1	False	1128		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955567.1	mat_peptide	1	False	99		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955565.1	mat_peptide	1	False	294		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955571.1	mat_peptide	1	False	642		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955568.1	mat_peptide	1	False	75		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11757	NP_955563.1	mat_peptide	1	False	747		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11801	NP_955591.1	mat_peptide	1	False	2013		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955588.2	mat_peptide	1	False	540		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955592.1	mat_peptide	1	False	1221		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955589.1	mat_peptide	1	False	588		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955584.1	mat_peptide	1	False	252		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955590.1	mat_peptide	1	False	375		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955586.1	mat_peptide	1	False	168		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955587.1	mat_peptide	1	False	1308		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955583.1	mat_peptide	1	False	390		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	YP_656508.1	mat_peptide	1	False	48		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11801	NP_955585.1	mat_peptide	1	False	789		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	44561	Unknown	sig_peptide	1	True	93		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'Murine leukemia virus']
Retro-transcribing viruses	11830	NP_955598.1	mat_peptide	1	False	738		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11830	NP_955596.1	mat_peptide	1	False	387		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	11830	NP_955597.1	mat_peptide	1	False	282		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Gammaretrovirus', 'unclassified Gammaretrovirus']
Retro-transcribing viruses	69576	YP_241112.1	mat_peptide	1	False	717		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus', 'unclassified Betaretrovirus']
Retro-transcribing viruses	69576	YP_241111.1	mat_peptide	1	True	1134		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus', 'unclassified Betaretrovirus']
Retro-transcribing viruses	11663	Unknown	sig_peptide	1	True	243		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'unclassified Lentivirus']
Retro-transcribing viruses	11663	NP_954554.1	mat_peptide	1	False	2727		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Lentivirus', 'unclassified Lentivirus']
Retro-transcribing viruses	11908	NP_955621.1	mat_peptide	1	False	528		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11908	NP_955619.1	mat_peptide	1	False	3351		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11908	NP_955617.1	mat_peptide	1	False	390		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11908	NP_955620.2	mat_peptide	1	True	1464		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11908	NP_955618.1	mat_peptide	1	False	645		False	3	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11909	NP_954567.1	mat_peptide	1	False	642		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11909	NP_954568.1	mat_peptide	1	False	249		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11909	NP_954569.1	mat_peptide	1	False	534		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11909	NP_954566.1	mat_peptide	1	True	408		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	33748	YP_567049.1	mat_peptide	1	False	849		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	33748	NP_954570.1	mat_peptide	1	False	447		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	33748	YP_567050.1	mat_peptide	1	False	2637		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	33748	NP_954571.1	mat_peptide	1	False	1038		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	33748	YP_567048.1	mat_peptide	1	True	1296		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Deltaretrovirus']
Retro-transcribing viruses	11886	NP_955608.1	mat_peptide	1	False	186		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955607.1	mat_peptide	1	True	465		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955616.1	mat_peptide	1	False	1575		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955612.1	mat_peptide	1	False	969		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955611.1	mat_peptide	1	False	1716		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955614.1	mat_peptide	1	False	1020		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955615.1	mat_peptide	1	False	594		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955610.1	mat_peptide	1	False	267		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955609.1	mat_peptide	1	False	720		False	2	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11886	NP_955613.1	mat_peptide	1	False	402		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Alpharetrovirus']
Retro-transcribing viruses	11856	NP_955544.1	mat_peptide	1	False	567		False	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	11856	NP_955543.1	mat_peptide	1	True	1158		True	1	['Viruses', 'Retro-transcribing viruses', 'Retroviridae', 'Orthoretrovirinae', 'Betaretrovirus']
Retro-transcribing viruses	35269	Unknown	sig_peptide	1	True	627		True	1	['Viruses', 'Retro-transcribing viruses', 'Hepadnaviridae', 'Orthohepadnavirus']
Retro-transcribing viruses	35269	NP_944491.1	mat_peptide	1	False	666		False	1	['Viruses', 'Retro-transcribing viruses', 'Hepadnaviridae', 'Orthohepadnavirus']
